ID	Accession	Type	Description
mir-7957	RF03995	Gene; miRNA;	mir-7957 microRNA precursor family
mir-7961	RF04042	Gene; miRNA;	mir-7961 microRNA precursor family
mir-7964	RF04025	Gene; miRNA;	mir-7964 microRNA precursor family
mir-7973	RF03569	Gene; miRNA;	mir-7973 microRNA precursor family
mir-8	RF00241	Gene; miRNA;	mir-8/mir-141/mir-200 microRNA precursor family
mir-80	RF00817	Gene; miRNA;	microRNA mir-80
mir-802	RF00887	Gene; miRNA;	mir-802 microRNA precursor family
mir-81	RF00728	Gene; miRNA;	mir-81 microRNA precursor family
mir-8196	RF03226	Gene; miRNA;	mir-8196 microRNA precursor family
mir-8229	RF03260	Gene; miRNA;	mir-8229 microRNA precursor family
mir-8250	RF03602	Gene; miRNA;	mir-8250 microRNA precursor family
mir-8286	RF03570	Gene; miRNA;	mir-8286 microRNA precursor family
mir-83	RF00812	Gene; miRNA;	microRNA mir-83
mir-8315	RF03737	Gene; miRNA;	mir-8315 microRNA precursor family
mir-8338	RF04014	Gene; miRNA;	mir-8338 microRNA precursor family
mir-8356	RF04103	Gene; miRNA;	mir-8356 microRNA precursor family
mir-84	RF00811	Gene; miRNA;	microRNA mir-84
mir-8489	RF04007	Gene; miRNA;	mir-8489 microRNA precursor family
mir-8499	RF04026	Gene; miRNA;	mir-8499 microRNA precursor family
mir-85	RF00810	Gene; miRNA;	microRNA mir-85
mir-8510	RF03997	Gene; miRNA;	mir-8510 microRNA precursor family
mir-8512	RF04033	Gene; miRNA;	mir-8512 microRNA precursor family
mir-8515	RF04011	Gene; miRNA;	mir-8515 microRNA precursor family
mir-8517	RF04051	Gene; miRNA;	mir-8517 microRNA precursor family
mir-8521	RF04029	Gene; miRNA;	mir-8521 microRNA precursor family
mir-8536	RF03993	Gene; miRNA;	mir-8536 microRNA precursor family
mir-86	RF00808	Gene; miRNA;	microRNA mir-86
mir-87	RF00726	Gene; miRNA;	mir-87 microRNA precursor family
mir-872	RF00918	Gene; miRNA;	mir-872 microRNA precursor family
mir-873	RF00910	Gene; miRNA;	microRNA mir-873
mir-874	RF00919	Gene; miRNA;	microRNA mir-874
mir-875	RF00933	Gene; miRNA;	microRNA mir-875
mir-876	RF00935	Gene; miRNA;	microRNA mir-876
mir-877	RF00912	Gene; miRNA;	microRNA mir-877
mir-878	RF03492	Gene; miRNA;	mir-878 microRNA precursor family
mir-879	RF00931	Gene; miRNA;	microRNA mir-879
mir-8799	RF03981	Gene; miRNA;	mir-8799 microRNA precursor family
mir-880	RF03312	Gene; miRNA;	mir-880 microRNA precursor family
mir-881	RF03346	Gene; miRNA;	mir-881 microRNA precursor family
mir-883	RF00909	Gene; miRNA;	mir-883 microRNA precursor family
mir-8830	RF03949	Gene; miRNA;	mir-8830 microRNA precursor family
mir-8834	RF03874	Gene; miRNA;	mir-8834 microRNA precursor family
mir-885	RF01015	Gene; miRNA;	microRNA mir-885
mir-8864	RF04101	Gene; miRNA;	mir-8864 microRNA precursor family
mir-887	RF01035	Gene; miRNA;	microRNA mir-887
mir-8904	RF04212	Gene; miRNA;	mir-8904 microRNA precursor family
mir-8908	RF04272	Gene; miRNA;	mir-8908 microRNA precursor family
mir-891	RF01042	Gene; miRNA;	microRNA mir-891
mir-8927	RF03965	Gene; miRNA;	mir-8927 microRNA precursor family
mir-8932	RF03810	Gene; miRNA;	mir-8932 microRNA precursor family
mir-8934	RF03968	Gene; miRNA;	mir-8934 microRNA precursor family
mir-8941	RF03841	Gene; miRNA;	mir-8941 microRNA precursor family
mir-8993	RF03954	Gene; miRNA;	mir-8993 microRNA precursor family
mir-9	RF00237	Gene; miRNA;	mir-9/mir-79 microRNA precursor family
mir-90	RF00785	Gene; miRNA;	microRNA mir-90
mir-9014	RF03481	Gene; miRNA;	mir-9014 microRNA precursor family
mir-9033	RF03961	Gene; miRNA;	mir-9033 microRNA precursor family
mir-9058	RF03690	Gene; miRNA;	mir-9058 microRNA precursor family
mir-9080	RF03645	Gene; miRNA;	mir-9080 microRNA precursor family
mir-9168	RF03627	Gene; miRNA;	mir-9168 microRNA precursor family
mir-9193	RF03577	Gene; miRNA;	mir-9193 microRNA precursor family
mir-9198	RF04126	Gene; miRNA;	mir-9198 microRNA precursor family
mir-92	RF00464	Gene; miRNA;	mir-92 microRNA precursor family
mir-920	RF00986	Gene; miRNA;	mir-920 microRNA precursor family
mir-9209	RF03991	Gene; miRNA;	mir-9209 microRNA precursor family
mir-921	RF03740	Gene; miRNA;	mir-921 microRNA precursor family
mir-9214	RF04215	Gene; miRNA;	mir-9214 microRNA precursor family
mir-922	RF01019	Gene; miRNA;	microRNA mir-922
mir-9228	RF04047	Gene; miRNA;	mir-9228 microRNA precursor family
mir-9229	RF04224	Gene; miRNA;	mir-9229 microRNA precursor family
mir-9235	RF03797	Gene; miRNA;	mir-9235 microRNA precursor family
mir-9236	RF04155	Gene; miRNA;	mir-9236 microRNA precursor family
mir-924	RF00999	Gene; miRNA;	microRNA mir-924
mir-9242	RF03900	Gene; miRNA;	mir-9242 microRNA precursor family
mir-9243	RF04138	Gene; miRNA;	mir-9243 microRNA precursor family
mir-9256	RF03883	Gene; miRNA;	mir-9256 microRNA precursor family
mir-927	RF00950	Gene; miRNA;	microRNA mir-927
mir-928	RF03580	Gene; miRNA;	mir-928 microRNA precursor family
mir-929	RF00947	Gene; miRNA;	microRNA mir-929
mir-92_2	RF03554	Gene; miRNA;	mir-92_2 microRNA precursor family
mir-932	RF01914	Gene; miRNA;	microRNA mir-932
mir-933	RF03661	Gene; miRNA;	mir-933 microRNA precursor family
mir-9338	RF04006	Gene; miRNA;	mir-9338 microRNA precursor family
mir-934	RF01025	Gene; miRNA;	microRNA mir-934
mir-935	RF03944	Gene; miRNA;	mir-935 microRNA precursor family
mir-936	RF01002	Gene; miRNA;	microRNA mir-936
mir-937	RF01039	Gene; miRNA;	microRNA mir-937
mir-938	RF00964	Gene; miRNA;	microRNA mir-938
mir-939	RF00981	Gene; miRNA;	microRNA mir-939
mir-940	RF01023	Gene; miRNA;	microRNA mir-940
mir-941	RF00907	Gene; miRNA;	microRNA mir-941
mir-9413	RF03648	Gene; miRNA;	mir-9413 microRNA precursor family
mir-9416	RF03564	Gene; miRNA;	mir-9416 microRNA precursor family
mir-9418	RF03388	Gene; miRNA;	mir-9418 microRNA precursor family
mir-942	RF00997	Gene; miRNA;	microRNA mir-942
mir-9424	RF03686	Gene; miRNA;	mir-9424 microRNA precursor family
mir-9428	RF03290	Gene; miRNA;	mir-9428 microRNA precursor family
mir-943	RF03341	Gene; miRNA;	mir-943 microRNA precursor family
mir-944	RF01024	Gene; miRNA;	microRNA mir-944
mir-9440	RF03608	Gene; miRNA;	mir-9440 microRNA precursor family
mir-9441	RF03380	Gene; miRNA;	mir-9441 microRNA precursor family
mir-9447	RF03607	Gene; miRNA;	mir-9447 microRNA precursor family
mir-9449	RF03786	Gene; miRNA;	mir-9449 microRNA precursor family
mir-9456	RF03937	Gene; miRNA;	mir-9456 microRNA precursor family
mir-9457	RF04197	Gene; miRNA;	mir-9457 microRNA precursor family
mir-9460	RF03254	Gene; miRNA;	mir-9460 microRNA precursor family
mir-9461	RF03504	Gene; miRNA;	mir-9461 microRNA precursor family
mir-9465	RF03680	Gene; miRNA;	mir-9465 microRNA precursor family
mir-95	RF04053	Gene; miRNA;	mir-95 microRNA precursor family
mir-955	RF03835	Gene; miRNA;	mir-955 microRNA precursor family
mir-957	RF03402	Gene; miRNA;	mir-957 microRNA precursor family
mir-9571	RF04024	Gene; miRNA;	mir-9571 microRNA precursor family
mir-958	RF03962	Gene; miRNA;	mir-958 microRNA precursor family
mir-959	RF03958	Gene; miRNA;	mir-959 microRNA precursor family
mir-96	RF00669	Gene; miRNA;	microRNA mir-96
mir-960	RF03377	Gene; miRNA;	mir-960 microRNA precursor family
mir-961	RF03850	Gene; miRNA;	mir-961 microRNA precursor family
mir-962	RF03423	Gene; miRNA;	mir-962 microRNA precursor family
mir-963	RF03239	Gene; miRNA;	mir-963 microRNA precursor family
mir-964	RF03923	Gene; miRNA;	mir-964 microRNA precursor family
mir-965	RF02520	Gene; miRNA;	mir-965 microRNA precursor family
mir-967	RF03230	Gene; miRNA;	mir-967 microRNA precursor family
mir-968	RF03495	Gene; miRNA;	mir-968 microRNA precursor family
mir-969	RF01997	Gene; miRNA;	microRNA mir-969
mir-970	RF03508	Gene; miRNA;	mir-970 microRNA precursor family
mir-971	RF03653	Gene; miRNA;	mir-971 microRNA precursor family
mir-974	RF03785	Gene; miRNA;	mir-974 microRNA precursor family
mir-975	RF03367	Gene; miRNA;	mir-975 microRNA precursor family
mir-976	RF03977	Gene; miRNA;	mir-976 microRNA precursor family
mir-977	RF03715	Gene; miRNA;	mir-977 microRNA precursor family
mir-978	RF03773	Gene; miRNA;	mir-978 microRNA precursor family
mir-9791	RF03626	Gene; miRNA;	mir-9791 microRNA precursor family
mir-980	RF03278	Gene; miRNA;	mir-980 microRNA precursor family
mir-981	RF01926	Gene; miRNA;	microRNA mir-981
mir-982	RF04056	Gene; miRNA;	mir-982 microRNA precursor family
mir-983	RF00949	Gene; miRNA;	microRNA mir-983
mir-9847	RF03455	Gene; miRNA;	mir-9847 microRNA precursor family
mir-986	RF03399	Gene; miRNA;	mir-986 microRNA precursor family
mir-987	RF02009	Gene; miRNA;	microRNA mir-987
mir-988	RF01916	Gene; miRNA;	microRNA mir-988
mir-989	RF03319	Gene; miRNA;	mir-989 microRNA precursor family
mir-991	RF03641	Gene; miRNA;	mir-991 microRNA precursor family
mir-992	RF03913	Gene; miRNA;	mir-992 microRNA precursor family
mir-995	RF01996	Gene; miRNA;	microRNA mir-995
mir-996	RF00948	Gene; miRNA;	mir-996 microRNA precursor family
mir-998	RF03419	Gene; miRNA;	mir-998 microRNA precursor family
mir-999	RF01943	Gene; miRNA;	microRNA mir-999
mir-B6	RF03878	Gene; miRNA;	mir-B6 microRNA precursor family
mir-B8	RF03890	Gene; miRNA;	mir-B8 microRNA precursor family
mir-BART1	RF00363	Gene; miRNA;	mir-BART1 microRNA precursor family
mir-BART10	RF03216	Gene; miRNA;	mir-BART10 microRNA precursor family
mir-BART12	RF00874	Gene; miRNA;	microRNA mir-BART12
mir-BART13	RF03200	Gene; miRNA;	mir-BART13 microRNA precursor family
mir-BART14	RF03733	Gene; miRNA;	mir-BART14 microRNA precursor family
mir-BART15	RF00868	Gene; miRNA;	mir-BART15 microRNA precursor family
mir-BART16	RF03563	Gene; miRNA;	mir-BART16 microRNA precursor family
mir-BART17	RF00863	Gene; miRNA;	microRNA mir-BART17
mir-BART18	RF03901	Gene; miRNA;	mir-BART18 microRNA precursor family
mir-BART19	RF03812	Gene; miRNA;	mir-BART19 microRNA precursor family
mir-BART2	RF00364	Gene; miRNA;	mir-BART2 microRNA precursor family
mir-BART20	RF00864	Gene; miRNA;	mir-BART20 microRNA precursor family
mir-BART21	RF03914	Gene; miRNA;	mir-BART21 microRNA precursor family
mir-BART3	RF00866	Gene; miRNA;	mir-BART3 microRNA precursor family
mir-BART5	RF00867	Gene; miRNA;	mir-BART5 microRNA precursor family
mir-BART7	RF00869	Gene; miRNA;	microRNA mir-BART7
mir-BART9	RF03864	Gene; miRNA;	mir-BART9 microRNA precursor family
mir-BHRF1-1	RF00365	Gene; miRNA;	mir-BHRF1-1 microRNA precursor family
mir-BHRF1-2	RF00366	Gene; miRNA;	mir-BHRF1-2 microRNA precursor family
mir-BHRF1-3	RF00367	Gene; miRNA;	mir-BHRF1-3 microRNA precursor family
mir-H1	RF03964	Gene; miRNA;	mir-H1 microRNA precursor family
mir-H11	RF04076	Gene; miRNA;	mir-H11 microRNA precursor family
mir-H2	RF03868	Gene; miRNA;	mir-H2 microRNA precursor family
mir-H3	RF03294	Gene; miRNA;	mir-H3 microRNA precursor family
mir-H4	RF03832	Gene; miRNA;	mir-H4 microRNA precursor family
mir-H5	RF03910	Gene; miRNA;	mir-H5 microRNA precursor family
mir-H7	RF03610	Gene; miRNA;	mir-H7 microRNA precursor family
mir-iab-4	RF00725	Gene; miRNA;	mir-iab-4 microRNA precursor family
mir-K12-10	RF03484	Gene; miRNA;	mir-K12-10 microRNA precursor family
mir-m107-1	RF03934	Gene; miRNA;	mir-m107-1 microRNA precursor family
mir-m21-1	RF03726	Gene; miRNA;	mir-m21-1 microRNA precursor family
mir-m22-1	RF03582	Gene; miRNA;	mir-m22-1 microRNA precursor family
mir-M7	RF01009	Gene; miRNA;	microRNA mir-M7
mir-rL1-14	RF03575	Gene; miRNA;	mir-rL1-14 microRNA precursor family
mir-Ro6-3	RF03819	Gene; miRNA;	mir-Ro6-3 microRNA precursor family
mir-TAR	RF00250	Gene; miRNA;	Trans-activation response element (TAR)
MIR1023	RF01043	Gene; miRNA;	microRNA MIR1023
MIR1024	RF03264	Gene; miRNA;	MIR1024 microRNA precursor family
MIR1027	RF00925	Gene; miRNA;	microRNA MIR1027
MIR1031	RF03667	Gene; miRNA;	MIR1031 microRNA precursor family
MIR1033	RF03297	Gene; miRNA;	MIR1033 microRNA precursor family
MIR1094	RF03375	Gene; miRNA;	MIR1094 microRNA precursor family
MIR1122	RF00906	Gene; miRNA;	microRNA MIR1122
MIR1144	RF04203	Gene; miRNA;	MIR1144 microRNA precursor family
MIR1151	RF00926	Gene; miRNA;	microRNA MIR1151
MIR1219	RF03849	Gene; miRNA;	MIR1219 microRNA precursor family
MIR1222	RF01927	Gene; miRNA;	microRNA MIR1222
MIR1223	RF01941	Gene; miRNA;	microRNA MIR1223
MIR1314	RF04023	Gene; miRNA;	MIR1314 microRNA precursor family
MIR1428	RF01925	Gene; miRNA;	microRNA MIR1428
MIR1432	RF04057	Gene; miRNA;	MIR1432 microRNA precursor family
MIR1435	RF03926	Gene; miRNA;	MIR1435 microRNA precursor family
MIR1437	RF04159	Gene; miRNA;	MIR1437 microRNA precursor family
MIR1444	RF00956	Gene; miRNA;	microRNA MIR1444
MIR1446	RF00954	Gene; miRNA;	MIR1446 microRNA precursor family
MIR1508	RF04092	Gene; miRNA;	MIR1508 microRNA precursor family
MIR1511	RF03728	Gene; miRNA;	MIR1511 microRNA precursor family
MIR1512	RF03187	Gene; miRNA;	MIR1512 microRNA precursor family
MIR1513	RF03450	Gene; miRNA;	MIR1513 microRNA precursor family
MIR1514	RF03259	Gene; miRNA;	MIR1514 microRNA precursor family
MIR1515	RF03246	Gene; miRNA;	MIR1515 microRNA precursor family
MIR1520	RF03860	Gene; miRNA;	MIR1520 microRNA precursor family
MIR1523	RF04113	Gene; miRNA;	MIR1523 microRNA precursor family
MIR158	RF00845	Gene; miRNA;	MIR158 microRNA precursor family
MIR159	RF00638	Gene; miRNA;	microRNA MIR159
MIR161	RF04079	Gene; miRNA;	MIR161 microRNA precursor family
MIR162_2	RF00742	Gene; miRNA;	microRNA MIR162_2
MIR164	RF00647	Gene; miRNA;	MIR164 microRNA precursor family
MIR167	RF00640	Gene; miRNA;	MIR167 microRNA precursor
MIR168	RF00677	Gene; miRNA;	microRNA MIR168
MIR169	RF03311	Gene; miRNA;	MIR169 microRNA precursor family
MIR169_2	RF00645	Gene; miRNA;	microRNA MIR169_2
MIR169_5	RF00865	Gene; miRNA;	microRNA MIR169_5
MIR171_1	RF00643	Gene; miRNA;	microRNA MIR171_1
MIR171_2	RF00692	Gene; miRNA;	microRNA MIR171_2
MIR173	RF03457	Gene; miRNA;	MIR173 microRNA precursor family
MIR1846	RF02000	Gene; miRNA;	MIR1846 microRNA precursor family
MIR1858	RF04119	Gene; miRNA;	MIR1858 microRNA precursor family
MIR1862	RF04136	Gene; miRNA;	MIR1862 microRNA precursor family
MIR1878	RF03709	Gene; miRNA;	MIR1878 microRNA precursor family
MIR1882	RF03632	Gene; miRNA;	MIR1882 microRNA precursor family
MIR1883	RF03599	Gene; miRNA;	MIR1883 microRNA precursor family
MIR1886	RF03803	Gene; miRNA;	MIR1886 microRNA precursor family
MIR1887	RF03655	Gene; miRNA;	MIR1887 microRNA precursor family
MIR1888	RF03616	Gene; miRNA;	MIR1888 microRNA precursor family
MIR1919	RF03693	Gene; miRNA;	MIR1919 microRNA precursor family
MIR2084	RF03679	Gene; miRNA;	MIR2084 microRNA precursor family
MIR2086	RF03496	Gene; miRNA;	MIR2086 microRNA precursor family
MIR2109	RF03572	Gene; miRNA;	MIR2109 microRNA precursor family
MIR2118	RF01911	Gene; miRNA;	microRNA MIR2118
MIR2118_2	RF04185	Gene; miRNA;	MIR2118_2 microRNA precursor family
MIR2119	RF03922	Gene; miRNA;	MIR2119 microRNA precursor family
MIR2275	RF03896	Gene; miRNA;	MIR2275 microRNA precursor family
MIR2587	RF01917	Gene; miRNA;	microRNA MIR2587
MIR2599	RF03839	Gene; miRNA;	MIR2599 microRNA precursor family
MIR2600	RF03843	Gene; miRNA;	MIR2600 microRNA precursor family
MIR2617	RF03749	Gene; miRNA;	MIR2617 microRNA precursor family
MIR2629	RF04063	Gene; miRNA;	MIR2629 microRNA precursor family
MIR2630	RF04097	Gene; miRNA;	MIR2630 microRNA precursor family
MIR2646	RF04133	Gene; miRNA;	MIR2646 microRNA precursor family
MIR2655	RF04150	Gene; miRNA;	MIR2655 microRNA precursor family
MIR2670	RF04156	Gene; miRNA;	MIR2670 microRNA precursor family
MIR2679	RF03895	Gene; miRNA;	MIR2679 microRNA precursor family
MIR2680	RF03842	Gene; miRNA;	MIR2680 microRNA precursor family
MIR2863	RF04071	Gene; miRNA;	MIR2863 microRNA precursor family
MIR2871	RF03659	Gene; miRNA;	MIR2871 microRNA precursor family
MIR2907	RF02027	Gene; miRNA;	microRNA MIR2907
MIR2912	RF04032	Gene; miRNA;	MIR2912 microRNA precursor family
MIR2933	RF03984	Gene; miRNA;	MIR2933 microRNA precursor family
MIR2934	RF03955	Gene; miRNA;	MIR2934 microRNA precursor family
MIR2950	RF03335	Gene; miRNA;	MIR2950 microRNA precursor family
MIR319	RF03483	Gene; miRNA;	MIR319 microRNA precursor family
MIR3440	RF03631	Gene; miRNA;	MIR3440 microRNA precursor family
MIR3444	RF03345	Gene; miRNA;	MIR3444 microRNA precursor family
MIR3522	RF03671	Gene; miRNA;	MIR3522 microRNA precursor family
MIR3627	RF03600	Gene; miRNA;	MIR3627 microRNA precursor family
MIR3704	RF03744	Gene; miRNA;	MIR3704 microRNA precursor family
MIR3712	RF03270	Gene; miRNA;	MIR3712 microRNA precursor family
MIR390	RF00689	Gene; miRNA;	microRNA MIR390
MIR391	RF03334	Gene; miRNA;	MIR391 microRNA precursor family
MIR3932	RF03670	Gene; miRNA;	MIR3932 microRNA precursor family
MIR394	RF00688	Gene; miRNA;	microRNA MIR394
MIR396	RF00648	Gene; miRNA;	microRNA MIR396
MIR397	RF00704	Gene; miRNA;	microRNA MIR397
MIR398	RF00695	Gene; miRNA;	microRNA MIR398
MIR400	RF03916	Gene; miRNA;	MIR400 microRNA precursor family
MIR403	RF00842	Gene; miRNA;	microRNA MIR403
MIR405	RF00768	Gene; miRNA;	MIR405 microRNA precursor family
MIR408	RF00690	Gene; miRNA;	microRNA MIR408
MIR4221	RF03605	Gene; miRNA;	MIR4221 microRNA precursor family
MIR4227	RF03798	Gene; miRNA;	MIR4227 microRNA precursor family
MIR4228	RF03720	Gene; miRNA;	MIR4228 microRNA precursor family
MIR4239	RF03654	Gene; miRNA;	MIR4239 microRNA precursor family
MIR4240	RF04129	Gene; miRNA;	MIR4240 microRNA precursor family
MIR4245	RF03621	Gene; miRNA;	MIR4245 microRNA precursor family
MIR4359	RF03665	Gene; miRNA;	MIR4359 microRNA precursor family
MIR4374	RF04114	Gene; miRNA;	MIR4374 microRNA precursor family
MIR4376	RF03636	Gene; miRNA;	MIR4376 microRNA precursor family
MIR4378	RF03722	Gene; miRNA;	MIR4378 microRNA precursor family
MIR4380	RF03704	Gene; miRNA;	MIR4380 microRNA precursor family
MIR4387	RF04151	Gene; miRNA;	MIR4387 microRNA precursor family
MIR439	RF01902	Gene; miRNA;	microRNA MIR439
MIR4416	RF03338	Gene; miRNA;	MIR4416 microRNA precursor family
MIR444	RF00920	Gene; miRNA;	microRNA MIR444
MIR447	RF04149	Gene; miRNA;	MIR447 microRNA precursor family
MIR473	RF00778	Gene; miRNA;	microRNA MIR473
MIR474	RF00779	Gene; miRNA;	microRNA MIR474
MIR475	RF00721	Gene; miRNA;	microRNA MIR475
MIR476	RF00739	Gene; miRNA;	MIR476 microRNA precursor family
MIR477	RF00780	Gene; miRNA;	microRNA MIR477
MIR478	RF00652	Gene; miRNA;	microRNA MIR478
MIR480	RF00782	Gene; miRNA;	microRNA MIR480
MIR5020	RF04059	Gene; miRNA;	MIR5020 microRNA precursor family
MIR5038	RF03497	Gene; miRNA;	MIR5038 microRNA precursor family
MIR5062	RF04135	Gene; miRNA;	MIR5062 microRNA precursor family
MIR5084	RF04110	Gene; miRNA;	MIR5084 microRNA precursor family
MIR5148	RF03676	Gene; miRNA;	MIR5148 microRNA precursor family
MIR5200	RF04117	Gene; miRNA;	MIR5200 microRNA precursor family
MIR5225	RF03517	Gene; miRNA;	MIR5225 microRNA precursor family
MIR5229	RF03516	Gene; miRNA;	MIR5229 microRNA precursor family
MIR5241	RF03855	Gene; miRNA;	MIR5241 microRNA precursor family
MIR5267	RF04064	Gene; miRNA;	MIR5267 microRNA precursor family
MIR5269	RF03789	Gene; miRNA;	MIR5269 microRNA precursor family
MIR5271	RF03199	Gene; miRNA;	MIR5271 microRNA precursor family
MIR5272	RF03875	Gene; miRNA;	MIR5272 microRNA precursor family
MIR5274	RF03862	Gene; miRNA;	MIR5274 microRNA precursor family
MIR528	RF04083	Gene; miRNA;	MIR528 microRNA precursor family
MIR5284	RF03983	Gene; miRNA;	MIR5284 microRNA precursor family
MIR5285	RF03824	Gene; miRNA;	MIR5285 microRNA precursor family
MIR5286	RF03915	Gene; miRNA;	MIR5286 microRNA precursor family
MIR529	RF00908	Gene; miRNA;	microRNA MIR529
MIR5291	RF03353	Gene; miRNA;	MIR5291 microRNA precursor family
MIR5292	RF03752	Gene; miRNA;	MIR5292 microRNA precursor family
MIR5294	RF03430	Gene; miRNA;	MIR5294 microRNA precursor family
MIR5298	RF03794	Gene; miRNA;	MIR5298 microRNA precursor family
MIR530	RF01005	Gene; miRNA;	microRNA MIR530
MIR5304	RF03788	Gene; miRNA;	MIR5304 microRNA precursor family
MIR531	RF03407	Gene; miRNA;	MIR531 microRNA precursor family
MIR533	RF03777	Gene; miRNA;	MIR533 microRNA precursor family
MIR535	RF00714	Gene; miRNA;	MIR535 microRNA precursor family
MIR537	RF04094	Gene; miRNA;	MIR537 microRNA precursor family
MIR538	RF03927	Gene; miRNA;	MIR538 microRNA precursor family
MIR5380	RF04202	Gene; miRNA;	MIR5380 microRNA precursor family
MIR5387	RF03674	Gene; miRNA;	MIR5387 microRNA precursor family
MIR5512	RF04112	Gene; miRNA;	MIR5512 microRNA precursor family
MIR5516	RF03183	Gene; miRNA;	MIR5516 microRNA precursor family
MIR5534	RF03240	Gene; miRNA;	MIR5534 microRNA precursor family
MIR5565	RF04087	Gene; miRNA;	MIR5565 microRNA precursor family
MIR5635	RF03444	Gene; miRNA;	MIR5635 microRNA precursor family
MIR5638	RF04196	Gene; miRNA;	MIR5638 microRNA precursor family
MIR5643	RF03649	Gene; miRNA;	MIR5643 microRNA precursor family
MIR5649	RF03802	Gene; miRNA;	MIR5649 microRNA precursor family
MIR5743	RF03642	Gene; miRNA;	MIR5743 microRNA precursor family
MIR5998	RF04120	Gene; miRNA;	MIR5998 microRNA precursor family
MIR6020	RF03351	Gene; miRNA;	MIR6020 microRNA precursor family
MIR6024	RF03598	Gene; miRNA;	MIR6024 microRNA precursor family
MIR6032	RF03182	Gene; miRNA;	MIR6032 microRNA precursor family
MIR6135	RF04069	Gene; miRNA;	MIR6135 microRNA precursor family
MIR6143	RF04002	Gene; miRNA;	MIR6143 microRNA precursor family
MIR6145	RF03657	Gene; miRNA;	MIR6145 microRNA precursor family
MIR6146	RF03286	Gene; miRNA;	MIR6146 microRNA precursor family
MIR6149	RF03905	Gene; miRNA;	MIR6149 microRNA precursor family
MIR6151	RF03695	Gene; miRNA;	MIR6151 microRNA precursor family
MIR6152	RF03625	Gene; miRNA;	MIR6152 microRNA precursor family
MIR6154	RF04041	Gene; miRNA;	MIR6154 microRNA precursor family
MIR6201	RF03795	Gene; miRNA;	MIR6201 microRNA precursor family
MIR6217	RF04195	Gene; miRNA;	MIR6217 microRNA precursor family
MIR6224	RF04147	Gene; miRNA;	MIR6224 microRNA precursor family
MIR6234	RF03613	Gene; miRNA;	MIR6234 microRNA precursor family
MIR6274	RF04111	Gene; miRNA;	MIR6274 microRNA precursor family
MIR6288	RF03664	Gene; miRNA;	MIR6288 microRNA precursor family
MIR6297	RF03816	Gene; miRNA;	MIR6297 microRNA precursor family
MIR6425	RF03237	Gene; miRNA;	MIR6425 microRNA precursor family
MIR6426	RF03872	Gene; miRNA;	MIR6426 microRNA precursor family
MIR6438	RF03597	Gene; miRNA;	MIR6438 microRNA precursor family
MIR6440	RF04070	Gene; miRNA;	MIR6440 microRNA precursor family
MIR6445	RF03933	Gene; miRNA;	MIR6445 microRNA precursor family
MIR6450	RF03712	Gene; miRNA;	MIR6450 microRNA precursor family
MIR6457	RF04102	Gene; miRNA;	MIR6457 microRNA precursor family
MIR6459	RF03908	Gene; miRNA;	MIR6459 microRNA precursor family
MIR6462	RF03792	Gene; miRNA;	MIR6462 microRNA precursor family
MIR7125	RF03723	Gene; miRNA;	MIR7125 microRNA precursor family
MIR7127	RF04049	Gene; miRNA;	MIR7127 microRNA precursor family
MIR7504	RF04134	Gene; miRNA;	MIR7504 microRNA precursor family
MIR7510	RF04201	Gene; miRNA;	MIR7510 microRNA precursor family
MIR7532	RF04012	Gene; miRNA;	MIR7532 microRNA precursor family
MIR7533	RF04209	Gene; miRNA;	MIR7533 microRNA precursor family
MIR7696	RF03743	Gene; miRNA;	MIR7696 microRNA precursor family
MIR7724	RF03666	Gene; miRNA;	MIR7724 microRNA precursor family
MIR7725	RF03951	Gene; miRNA;	MIR7725 microRNA precursor family
MIR7729	RF03176	Gene; miRNA;	MIR7729 microRNA precursor family
MIR774	RF03714	Gene; miRNA;	MIR774 microRNA precursor family
MIR7784	RF03902	Gene; miRNA;	MIR7784 microRNA precursor family
MIR781	RF03583	Gene; miRNA;	MIR781 microRNA precursor family
MIR7991	RF03904	Gene; miRNA;	MIR7991 microRNA precursor family
MIR7993	RF03601	Gene; miRNA;	MIR7993 microRNA precursor family
MIR7994	RF03818	Gene; miRNA;	MIR7994 microRNA precursor family
MIR7996	RF04130	Gene; miRNA;	MIR7996 microRNA precursor family
MIR8007	RF04127	Gene; miRNA;	MIR8007 microRNA precursor family
MIR8008	RF03790	Gene; miRNA;	MIR8008 microRNA precursor family
MIR8024	RF03567	Gene; miRNA;	MIR8024 microRNA precursor family
MIR8032	RF03838	Gene; miRNA;	MIR8032 microRNA precursor family
MIR8041	RF03813	Gene; miRNA;	MIR8041 microRNA precursor family
MIR807	RF00886	Gene; miRNA;	microRNA MIR807
MIR810	RF03793	Gene; miRNA;	MIR810 microRNA precursor family
MIR812	RF04088	Gene; miRNA;	MIR812 microRNA precursor family
MIR8139	RF04000	Gene; miRNA;	MIR8139 microRNA precursor family
MIR815	RF00884	Gene; miRNA;	microRNA MIR815
MIR820	RF00883	Gene; miRNA;	MIR820 microRNA precursor family
MIR821	RF00885	Gene; miRNA;	microRNA MIR821
MIR824	RF00943	Gene; miRNA;	microRNA MIR824
MIR825	RF03826	Gene; miRNA;	MIR825 microRNA precursor family
MIR827	RF03692	Gene; miRNA;	MIR827 microRNA precursor family
MIR828	RF01026	Gene; miRNA;	microRNA MIR828
